STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY
NY,MONTOUR FALLS MEMORIAL LIBRARY,406 MAIN STREET,MONTOUR FALLS,14865,SCHUYLER
NY,THE SOUTHWORTH LIBRARY ASSOCIATION,24 WEST MAIN STREET,DRYDEN,13053,TOMPKINS
NY,HILLVIEW FREE LIBRARY,3717 LAKE SHORE DRIVE,DIAMOND POINT,12824,WARREN
NY,BROOKLYN PUBLIC LIBRARY,10 GRAND ARMY PLAZA,BROOKLYN,11238,KINGS
NY,BUFFALO AND ERIE COUNTY PUBLIC LIBRARY,1 LAFAYETTE SQUARE,BUFFALO,14203,ERIE
NY,NEWSTEAD PUBLIC LIBRARY,33 MAIN STREET,AKRON,14001,ERIE
NY,EWELL FREE LIBRARY,13280 BROADWAY,ALDEN,14004,ERIE
NY,ANGOLA PUBLIC LIBRARY,34 NORTH MAIN STREET,ANGOLA,14006,ERIE
NY,BOSTON FREE LIBRARY,9474 BOSTON STATE ROAD,BOSTON,14025,ERIE
NY,CHEEKTOWAGA PUBLIC LIBRARY,1030 LOSSON ROAD,CHEEKTOWAGA,14227,ERIE
NY,CLARENCE PUBLIC LIBRARY,THREE TOWN PLACE,CLARENCE,14031,ERIE
NY,TOWN OF COLLINS PUBLIC LIBRARY,2341 MAIN STREET,COLLINS,14034,ERIE
NY,AURORA TOWN PUBLIC LIBRARY,550 MAIN STREET,EAST AURORA,14052,ERIE
NY,EDEN LIBRARY,2901 EAST CHURCH STREET,EDEN,14057,ERIE
NY,ELMA PUBLIC LIBRARY,1860 BOWEN ROAD,ELMA,14059,ERIE
NY,GOWANDA FREE LIBRARY,56 WEST MAIN STREET,GOWANDA,14070,CATTARAUGUS
NY,GRAND ISLAND MEMORIAL LIBRARY,1715 BEDELL ROAD,GRAND ISLAND,14072,ERIE
NY,HAMBURG PUBLIC LIBRARY,102 BUFFALO STREET,HAMBURG,14075,ERIE
NY,TOWN OF TONAWANDA PUBLIC LIBRARY,160 DELAWARE ROAD,KENMORE,14217,ERIE
NY,LACKAWANNA PUBLIC LIBRARY,560 RIDGE ROAD,LACKAWANNA,14218,ERIE
NY,LANCASTER PUBLIC LIBRARY,5466 BROADWAY,LANCASTER,14086,ERIE
NY,MARILLA FREE LIBRARY,11637 BULLIS ROAD,MARILLA,14102,ERIE
NY,TOWN OF NORTH COLLINS PUBLIC LIBRARY,2095 SCHOOL STREET,NORTH COLLINS,14111,ERIE
NY,ORCHARD PARK PUBLIC LIBRARY,4570 SOUTH BUFFALO STREET,ORCHARD PARK,14127,ERIE
NY,HULBERT LIBRARY OF THE TOWN OF CONCORD,18 CHAPEL STREET,SPRINGVILLE,14141,ERIE
NY,CITY OF TONAWANDA PUBLIC LIBRARY,333 MAIN STREET,TONAWANDA,14150,ERIE
NY,AMHERST PUBLIC LIBRARY,350 JOHN JAMES AUDUBON PARKWAY,AMHERST,14228,ERIE
NY,WEST SENECA PUBLIC LIBRARY,1300 UNION ROAD,WEST SENECA,14224,ERIE
NY,ALLEGANY PUBLIC LIBRARY,90 WEST MAIN STREET,ALLEGANY,14706,CATTARAUGUS
NY,CATTARAUGUS FREE LIBRARY,21 MAIN STREET,CATTARAUGUS,14719,CATTARAUGUS
NY,DELEVAN-YORKSHIRE PUBLIC LIBRARY,28 SCHOOL STREET,DELEVAN,14042,CATTARAUGUS
NY,ELLICOTTVILLE MEMORIAL LIBRARY,6499 MAPLES ROAD,ELLICOTTVILLE,14731,CATTARAUGUS
NY,BLOUNT LIBRARY,5 NORTH MAIN STREET,FRANKLINVILLE,14737,CATTARAUGUS
NY,MEMORIAL LIBRARY OF LITTLE VALLEY,110 ROCK CITY STREET,LITTLE VALLEY,14755,CATTARAUGUS
NY,KING MEMORIAL LIBRARY,9538 RT. 16,MACHIAS,14101,CATTARAUGUS
NY,OLEAN PUBLIC LIBRARY,134 NORTH SECOND STREET,OLEAN,14760,CATTARAUGUS
NY,PORTVILLE FREE LIBRARY,2 NORTH MAIN STREET,PORTVILLE,14770,CATTARAUGUS
NY,RANDOLPH LIBRARY,26 JAMESTOWN STREET,RANDOLPH,14772,CATTARAUGUS
NY,SALAMANCA PUBLIC LIBRARY,155 WILDWOOD AVENUE,SALAMANCA,14779,CATTARAUGUS
NY,SENECA NATION LIBRARY,830 BROAD STREET EXTENSION,SALAMANCA,14779,CATTARAUGUS
NY,ASHVILLE FREE LIBRARY,2200 NORTH MAPLE STREET,ASHVILLE,14710,CHAUTAUQUA
NY,BEMUS POINT PUBLIC LIBRARY,13 MAIN STREET,BEMUS POINT,14712,CHAUTAUQUA
NY,AHIRA HALL MEMORIAL LIBRARY,37 WEST MAIN STREET,BROCTON,14716,CHAUTAUQUA
NY,HAZELTINE PUBLIC LIBRARY,891 BUSTI-SUGAR GROVE ROAD,JAMESTOWN,14701,CHAUTAUQUA
NY,SMITH MEMORIAL LIBRARY,21 MILLER AVENUE,CHAUTAUQUA,14722,CHAUTAUQUA
NY,CLYMER-FRENCH CREEK FREE LIBRARY,564 CLYMER - SHERMAN ROAD,CLYMER,14724,CHAUTAUQUA
NY,DUNKIRK PUBLIC LIBRARY,536 CENTRAL AVENUE,DUNKIRK,14048,CHAUTAUQUA
NY,ELLINGTON FARMAN LIBRARY,760 THORNTON ROAD,ELLINGTON,14732,CHAUTAUQUA
NY,FALCONER PUBLIC LIBRARY,101 WEST MAIN STREET,FALCONER,14733,CHAUTAUQUA
NY,FLUVANNA FREE LIBRARY,3532 FLUVANNA AVENUE EXTENSION,JAMESTOWN,14701,CHAUTAUQUA
NY,DARWIN R. BARKER LIBRARY ASSOCIATION,7 DAY STREET,FREDONIA,14063,CHAUTAUQUA
NY,MYERS MEMORIAL LIBRARY,26 IVORY STREET,FREWSBURG,14738,CHAUTAUQUA
NY,JAMES PRENDERGAST LIBRARY ASSOCIATION,509 CHERRY STREET,JAMESTOWN,14701,CHAUTAUQUA
NY,KENNEDY FREE LIBRARY,649 SECOND STREET,KENNEDY,14747,CHAUTAUQUA
NY,LAKEWOOD MEMORIAL LIBRARY,12 WEST SUMMIT STREET,LAKEWOOD,14750,CHAUTAUQUA
NY,MAYVILLE LIBRARY,92 SOUTH ERIE STREET,MAYVILLE,14757,CHAUTAUQUA
NY,RIPLEY PUBLIC LIBRARY,64 WEST MAIN STREET,RIPLEY,14775,CHAUTAUQUA
NY,MINERVA FREE LIBRARY,116 MILLER STREET,SHERMAN,14781,CHAUTAUQUA
NY,ANDERSON-LEE LIBRARY,43 MAIN STREET,SILVER CREEK,14136,CHAUTAUQUA
NY,SINCLAIRVILLE FREE LIBRARY,15 MAIN STREET,SINCLAIRVILLE,14782,CHAUTAUQUA
NY,MARY E. SEYMOUR MEMORIAL FREE LIBRARY,22 NORTH MAIN STREET,STOCKTON,14784,CHAUTAUQUA
NY,PATTERSON LIBRARY,40 SOUTH PORTAGE STREET,WESTFIELD,14787,CHAUTAUQUA
NY,ALMOND TWENTIETH CENTURY CLUB LIBRARY,MAIN STREET,ALMOND,14804,ALLEGANY
NY,ANDOVER FREE LIBRARY,40 MAIN STREET,ANDOVER,14806,ALLEGANY
NY,ANGELICA FREE LIBRARY,55 WEST MAIN STREET,ANGELICA,14709,ALLEGANY
NY,BELFAST PUBLIC LIBRARY,75 SOUTH MAIN STREET,BELFAST,14711,ALLEGANY
NY,FREE LIBRARY OF THE BELMONT LITERARY AND HISTORICAL SOCIETY,2 WILLETS AVENUE,BELMONT,14813,ALLEGANY
NY,BOLIVAR FREE LIBRARY,390 MAIN STREET,BOLIVAR,14715,ALLEGANY
NY,ESSENTIAL CLUB FREE LIBRARY,11 PRATT STREET,CANASERAGA,14822,ALLEGANY
NY,CUBA CIRCULATING LIBRARY ASSOCIATION,39 EAST MAIN STREET,CUBA,14727,ALLEGANY
NY,WIDE AWAKE CLUB LIBRARY,22 N. GENESEE ST.,FILLMORE,14735,ALLEGANY
NY,FRIENDSHIP FREE LIBRARY,40 WEST MAIN STREET,FRIENDSHIP,14739,ALLEGANY
NY,GENESEE LIBRARY,8351 MAIN STREET,LITTLE GENESEE,14754,ALLEGANY
NY,COLONIAL LIBRARY,160 MAIN STREET,RICHBURG,14774,ALLEGANY
NY,RUSHFORD FREE LIBRARY,9012 MAIN STREET,RUSHFORD,14777,ALLEGANY
NY,SCIO MEMORIAL LIBRARY,3980 STATE RT. 19,SCIO,14880,ALLEGANY
NY,DAVID A HOWE PUBLIC LIBRARY,155 NORTH MAIN STREET,WELLSVILLE,14895,ALLEGANY
NY,WHITESVILLE PUBLIC LIBRARY,500 MAIN STREET,WHITESVILLE,14897,ALLEGANY
NY,DUTTON S. PETERSON MEMORIAL LIBRARY,106 FIRST ST.,ODESSA,14869,SCHUYLER
NY,WATKINS GLEN CEN SCH DIS FREE PUB LIB,610 SOUTH DECATUR STREET,WATKINS GLEN,14891,SCHUYLER
NY,ADDISON PUBLIC LIBRARY,6 SOUTH STREET,ADDISON,14801,STEUBEN
NY,E J COTTRELL MEMORIAL LIBRARY,30 MAIN STREET,ATLANTA,14808,STEUBEN
NY,AVOCA FREE LIBRARY,18 NORTH MAIN STREET,AVOCA,14809,STEUBEN
NY,DORMANN LIBRARY,101 WEST MORRIS STREET,BATH,14810,STEUBEN
NY,WIMODAUGHSIAN FREE LIBRARY,19 WEST MAIN STREET,CANISTEO,14823,STEUBEN
NY,SOUTHEAST STEUBEN COUNTY LIBRARY,300 CIVIC CENTER PLAZA SUITE 101,CORNING,14830,STEUBEN
