date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Total,57.0,100.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Epsilon,27.0,47.37,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Omicron,0.0,0.0,,
2021-01-01,California,State,Other,29.0,50.88,,
2021-01-01,California,State,Alpha,1.0,1.75,,
2021-01-02,California,State,Alpha,6.0,5.88,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Total,102.0,100.0,,
2021-01-02,California,State,Epsilon,42.0,41.18,,
2021-01-02,California,State,Other,52.0,50.98,,
2021-01-02,California,State,Omicron,1.0,0.98,,
2021-01-02,California,State,Delta,1.0,0.98,,
2021-01-03,California,State,Total,263.0,100.0,,
2021-01-03,California,State,Gamma,1.0,0.38,,
2021-01-03,California,State,Epsilon,115.0,43.73,,
2021-01-03,California,State,Other,140.0,53.23,,
2021-01-03,California,State,Delta,2.0,0.76,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Omicron,0.0,0.0,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Alpha,5.0,1.9,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Total,1242.0,100.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Other,562.0,45.25,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Epsilon,670.0,53.95,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,2.08,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Epsilon,402.0,52.14,,
2021-01-05,California,State,Total,771.0,100.0,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Other,353.0,45.78,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Delta,2.0,0.55,,
2021-01-06,California,State,Alpha,3.0,0.83,,
2021-01-06,California,State,Other,157.0,43.37,,
2021-01-06,California,State,Total,362.0,100.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.55,,
2021-01-06,California,State,Epsilon,198.0,54.7,,
2021-01-07,California,State,Total,295.0,100.0,441.71428571428,100.0
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Omicron,1.0,0.34,0.57142857142,0.12936610608
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.03234152652
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Epsilon,153.0,51.86,229.57142857142,51.972833117723
2021-01-07,California,State,Delta,0.0,0.0,1.42857142857,0.323415265201
2021-01-07,California,State,Alpha,15.0,5.08,7.28571428571,1.649417852523
2021-01-07,California,State,Other,126.0,42.71,202.71428571428,45.892626131953
2021-01-08,California,State,Delta,2.0,1.36,1.71428571428,0.377121307354
2021-01-08,California,State,Other,65.0,44.22,207.85714285714,45.725958516656
2021-01-08,California,State,Alpha,2.0,1.36,7.42857142857,1.634192331867
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Omicron,0.0,0.0,0.57142857142,0.125707102451
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.031426775613
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Epsilon,78.0,53.06,236.85714285714,52.105593966059
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Total,147.0,100.0,454.57142857142,100.0
2021-01-09,California,State,Omicron,0.0,0.0,0.42857142857,0.083033490174
2021-01-09,California,State,Other,221.0,41.46,232.0,44.948796014392
2021-01-09,California,State,Epsilon,305.0,57.22,274.42857142857,53.169111541655
2021-01-09,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-09,California,State,Gamma,0.0,0.0,0.14285714285,0.027677830058
2021-01-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-09,California,State,Alpha,6.0,1.13,7.42857142857,1.439247163022
2021-01-09,California,State,Total,533.0,100.0,516.14285714285,100.0
2021-01-09,California,State,Delta,1.0,0.19,1.71428571428,0.332133960697
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Epsilon,90.0,56.6,270.85714285714,54.032487888287
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Other,69.0,43.4,221.85714285714,44.257623254488
2021-01-10,California,State,Total,159.0,100.0,501.28571428571,100.0
2021-01-10,California,State,Omicron,0.0,0.0,0.42857142857,0.085494442861
2021-01-10,California,State,Delta,0.0,0.0,1.42857142857,0.284981476204
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.339412938159
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-11,California,State,Total,564.0,100.0,404.42857142857,100.0
2021-01-11,California,State,Other,281.0,49.82,181.71428571428,44.931119745673
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.035323207347
2021-01-11,California,State,Delta,2.0,0.35,1.0,0.247262451431
2021-01-11,California,State,Omicron,0.0,0.0,0.42857142857,0.105969622042
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Epsilon,271.0,48.05,213.85714285714,52.878841398799
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.035323207347
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.766160367361
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038343558282
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038343558282
2021-01-12,California,State,Alpha,9.0,1.64,6.14285714285,1.648773006135
2021-01-12,California,State,Epsilon,297.0,54.2,198.85714285714,53.374233128834
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038343558282
2021-01-12,California,State,Omicron,0.0,0.0,0.42857142857,0.115030674847
2021-01-12,California,State,Delta,1.0,0.18,1.14285714285,0.306748466258
2021-01-12,California,State,Other,240.0,43.8,165.57142857142,44.44018404908
2021-01-12,California,State,Total,548.0,100.0,372.57142857142,100.0
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Other,213.0,41.12,173.57142857142,43.958031837916
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Epsilon,293.0,56.56,212.42857142857,53.798842257598
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Omicron,2.0,0.39,0.42857142857,0.108538350217
2021-01-13,California,State,Delta,1.0,0.19,1.0,0.253256150507
2021-01-13,California,State,Alpha,9.0,1.74,7.0,1.772793053546
2021-01-13,California,State,Total,518.0,100.0,394.85714285714,100.0
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031938677739
2021-01-14,California,State,Omicron,0.0,0.0,0.28571428571,0.063877355477
2021-01-14,California,State,Epsilon,413.0,62.39,249.57142857142,55.796870009582
2021-01-14,California,State,Alpha,14.0,2.11,6.85714285714,1.53305653146
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Total,662.0,100.0,447.28571428571,100.0
2021-01-14,California,State,Other,235.0,35.5,189.14285714285,42.286809326094
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031938677739
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.223570744171
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031938677739
2021-01-15,California,State,Epsilon,316.0,55.73,283.57142857142,55.899746550268
2021-01-15,California,State,Other,241.0,42.5,214.28571428571,42.241622078288
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.028161081386
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
